Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for bsd-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:36:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(2124376k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2021-03-29T00:05:42.893-0800: 6.235: [GC (CMS Initial Mark) [1 CMS-initial-mark: 0K(3512768K)] 359947K(4126208K), 0.0653690 secs] [Times: user=0.10 sys=0.00, real=0.06 secs] 
2021-03-29T00:05:42.958-0800: 6.301: [CMS-concurrent-mark-start]
2021-03-29T00:05:42.960-0800: 6.302: [CMS-concurrent-mark: 0.001/0.001 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-29T00:05:42.960-0800: 6.302: [CMS-concurrent-preclean-start]
2021-03-29T00:05:42.966-0800: 6.308: [CMS-concurrent-preclean: 0.007/0.007 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-03-29T00:05:42.966-0800: 6.308: [CMS-concurrent-abortable-preclean-start]
2021-03-29T00:05:43.984-0800: 7.326: [GC (Allocation Failure) 2021-03-29T00:05:43.984-0800: 7.326: [ParNew: 545344K->28851K(613440K), 0.0298968 secs] 545344K->28851K(4126208K), 0.0300127 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2021-03-29T00:05:47.188-0800: 10.530: [CMS-concurrent-abortable-preclean: 2.002/4.222 secs] [Times: user=7.23 sys=0.33, real=4.22 secs] 
2021-03-29T00:05:47.191-0800: 10.533: [GC (CMS Final Remark) [YG occupancy: 368200 K (613440 K)]2021-03-29T00:05:47.191-0800: 10.533: [Rescan (parallel) , 0.0230764 secs]2021-03-29T00:05:47.214-0800: 10.556: [weak refs processing, 0.0000339 secs]2021-03-29T00:05:47.214-0800: 10.556: [class unloading, 0.0050306 secs]2021-03-29T00:05:47.219-0800: 10.562: [scrub symbol table, 0.0050994 secs]2021-03-29T00:05:47.225-0800: 10.567: [scrub string table, 0.0005025 secs][1 CMS-remark: 0K(3512768K)] 368200K(4126208K), 0.0358454 secs] [Times: user=0.15 sys=0.01, real=0.03 secs] 
2021-03-29T00:05:47.227-0800: 10.569: [CMS-concurrent-sweep-start]
2021-03-29T00:05:47.227-0800: 10.569: [CMS-concurrent-sweep: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-29T00:05:47.227-0800: 10.569: [CMS-concurrent-reset-start]
2021-03-29T00:05:47.261-0800: 10.603: [CMS-concurrent-reset: 0.034/0.034 secs] [Times: user=0.12 sys=0.03, real=0.04 secs] 
2021-03-29T00:05:48.517-0800: 11.859: [GC (Allocation Failure) 2021-03-29T00:05:48.517-0800: 11.859: [ParNew: 574195K->29485K(613440K), 0.0205941 secs] 574195K->29485K(4126208K), 0.0207381 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
2021-03-29T00:05:50.402-0800: 13.744: [GC (Allocation Failure) 2021-03-29T00:05:50.402-0800: 13.744: [ParNew: 574829K->30273K(613440K), 0.0154855 secs] 574829K->30273K(4126208K), 0.0156034 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2021-03-29T00:05:52.037-0800: 15.380: [GC (Allocation Failure) 2021-03-29T00:05:52.037-0800: 15.380: [ParNew: 575617K->30356K(613440K), 0.0137576 secs] 575617K->30356K(4126208K), 0.0139480 secs] [Times: user=0.09 sys=0.01, real=0.02 secs] 
2021-03-29T00:05:53.365-0800: 16.707: [GC (Allocation Failure) 2021-03-29T00:05:53.365-0800: 16.708: [ParNew: 575700K->30923K(613440K), 0.0150374 secs] 575700K->30923K(4126208K), 0.0152723 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2021-03-29T00:05:54.273-0800: 17.616: [GC (Allocation Failure) 2021-03-29T00:05:54.273-0800: 17.616: [ParNew: 576267K->28516K(613440K), 0.0136596 secs] 576267K->28516K(4126208K), 0.0137967 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2021-03-29T00:05:55.161-0800: 18.503: [GC (Allocation Failure) 2021-03-29T00:05:55.161-0800: 18.504: [ParNew: 573428K->23336K(613440K), 0.0693304 secs] 573428K->37359K(4126208K), 0.0694864 secs] [Times: user=0.28 sys=0.05, real=0.07 secs] 
2021-03-29T00:05:56.100-0800: 19.443: [GC (Allocation Failure) 2021-03-29T00:05:56.100-0800: 19.443: [ParNew: 568680K->7179K(613440K), 0.0248075 secs] 582703K->29084K(4126208K), 0.0249938 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
2021-03-29T00:05:57.000-0800: 20.342: [GC (Allocation Failure) 2021-03-29T00:05:57.000-0800: 20.342: [ParNew: 552523K->1830K(613440K), 0.0213033 secs] 574428K->23790K(4126208K), 0.0214195 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2021-03-29T00:05:57.937-0800: 21.279: [GC (Allocation Failure) 2021-03-29T00:05:57.937-0800: 21.279: [ParNew: 547174K->854K(613440K), 0.0125305 secs] 569134K->22829K(4126208K), 0.0126490 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2021-03-29T00:05:58.772-0800: 22.114: [GC (Allocation Failure) 2021-03-29T00:05:58.772-0800: 22.115: [ParNew: 546198K->695K(613440K), 0.0181320 secs] 568173K->22695K(4126208K), 0.0182855 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
