Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for bsd-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:36:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(3100780k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-03-29T00:13:40.706-0800: 5.709: [Full GC (Metadata GC Threshold) 2021-03-29T00:13:40.706-0800: 5.709: [Tenured: 0K->13290K(2796224K), 0.0680233 secs] 290819K->13290K(4054528K), [Metaspace: 20530K->20530K(1067008K)], 0.0682431 secs] [Times: user=0.06 sys=0.01, real=0.07 secs] 
2021-03-29T00:14:20.178-0800: 45.181: [Full GC (Metadata GC Threshold) 2021-03-29T00:14:20.178-0800: 45.181: [Tenured: 13290K->32119K(2796224K), 0.1287329 secs] 594933K->32119K(4054528K), [Metaspace: 33812K->33812K(1079296K)], 0.1288522 secs] [Times: user=0.12 sys=0.00, real=0.13 secs] 
2021-03-29T00:14:23.663-0800: 48.666: [GC (Allocation Failure) 2021-03-29T00:14:23.663-0800: 48.666: [DefNew: 1118528K->5689K(1258304K), 0.0110977 secs] 1150647K->37809K(4054528K), 0.0112017 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:25.663-0800: 50.666: [GC (Allocation Failure) 2021-03-29T00:14:25.663-0800: 50.666: [DefNew: 1124217K->5048K(1258304K), 0.0079963 secs] 1156337K->37168K(4054528K), 0.0081134 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:27.283-0800: 52.286: [GC (Allocation Failure) 2021-03-29T00:14:27.283-0800: 52.286: [DefNew: 1123576K->4996K(1258304K), 0.0086535 secs] 1155696K->37116K(4054528K), 0.0088259 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:29.205-0800: 54.208: [GC (Allocation Failure) 2021-03-29T00:14:29.205-0800: 54.208: [DefNew: 1123524K->5086K(1258304K), 0.0090150 secs] 1155644K->37206K(4054528K), 0.0091447 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:31.211-0800: 56.214: [GC (Allocation Failure) 2021-03-29T00:14:31.211-0800: 56.214: [DefNew: 1123614K->5019K(1258304K), 0.0085365 secs] 1155734K->37138K(4054528K), 0.0086768 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:32.906-0800: 57.909: [GC (Allocation Failure) 2021-03-29T00:14:32.906-0800: 57.909: [DefNew: 1123547K->5015K(1258304K), 0.0072236 secs] 1155666K->37135K(4054528K), 0.0073504 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:34.481-0800: 59.484: [GC (Allocation Failure) 2021-03-29T00:14:34.481-0800: 59.484: [DefNew: 1123543K->5063K(1258304K), 0.0073234 secs] 1155663K->37182K(4054528K), 0.0074769 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:36.222-0800: 61.225: [GC (Allocation Failure) 2021-03-29T00:14:36.222-0800: 61.225: [DefNew: 1123591K->5033K(1258304K), 0.0088419 secs] 1155710K->37153K(4054528K), 0.0089562 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:37.907-0800: 62.910: [GC (Allocation Failure) 2021-03-29T00:14:37.907-0800: 62.910: [DefNew: 1123561K->5028K(1258304K), 0.0087301 secs] 1155681K->37147K(4054528K), 0.0088621 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-03-29T00:14:39.541-0800: 64.544: [GC (Allocation Failure) 2021-03-29T00:14:39.541-0800: 64.544: [DefNew: 1123556K->5018K(1258304K), 0.0080920 secs] 1155675K->37138K(4054528K), 0.0082317 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-03-29T00:14:41.149-0800: 66.152: [GC (Allocation Failure) 2021-03-29T00:14:41.149-0800: 66.152: [DefNew: 1123546K->5061K(1258304K), 0.0091181 secs] 1155666K->37181K(4054528K), 0.0092532 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
